,Feature1,Feature2,Correlation,Category
0,hot,num_failed_logins,0.0087,Very Low (<0.7)
26,logged_in,is_guest_login,0.089,Very Low (<0.7)
30,num_compromised,num_file_creations,0.011,Very Low (<0.7)
31,num_compromised,num_shells,0.0093,Very Low (<0.7)
32,num_compromised,num_access_files,0.41,Very Low (<0.7)
33,num_compromised,is_guest_login,-0.00021,Very Low (<0.7)
34,root_shell,su_attempted,0.3,Very Low (<0.7)
35,root_shell,num_root,0.26,Very Low (<0.7)
36,root_shell,num_file_creations,0.091,Very Low (<0.7)
37,root_shell,num_shells,0.17,Very Low (<0.7)
38,root_shell,num_access_files,0.15,Very Low (<0.7)
39,root_shell,is_guest_login,-0.00039,Very Low (<0.7)
41,su_attempted,num_file_creations,0.008,Very Low (<0.7)
42,su_attempted,num_shells,0.024,Very Low (<0.7)
43,su_attempted,num_access_files,0.32,Very Low (<0.7)
44,su_attempted,is_guest_login,-0.00017,Very Low (<0.7)
45,num_root,num_file_creations,0.0097,Very Low (<0.7)
46,num_root,num_shells,0.013,Very Low (<0.7)
47,num_root,num_access_files,0.41,Very Low (<0.7)
48,num_root,is_guest_login,-0.00021,Very Low (<0.7)
49,num_file_creations,num_shells,0.067,Very Low (<0.7)
50,num_file_creations,num_access_files,0.08,Very Low (<0.7)
51,num_file_creations,is_guest_login,0.014,Very Low (<0.7)
52,num_shells,num_access_files,0.025,Very Low (<0.7)
53,num_shells,is_guest_login,-0.00037,Very Low (<0.7)
1,hot,logged_in,0.11,Very Low (<0.7)
27,num_compromised,root_shell,0.26,Very Low (<0.7)
25,logged_in,num_access_files,0.066,Very Low (<0.7)
13,num_failed_logins,su_attempted,0.12,Very Low (<0.7)
2,hot,num_compromised,0.0073,Very Low (<0.7)
3,hot,root_shell,0.024,Very Low (<0.7)
4,hot,su_attempted,-0.00021,Very Low (<0.7)
5,hot,num_root,0.001,Very Low (<0.7)
6,hot,num_file_creations,0.025,Very Low (<0.7)
7,hot,num_shells,0.0064,Very Low (<0.7)
8,hot,num_access_files,0.0019,Very Low (<0.7)
10,num_failed_logins,logged_in,-0.0011,Very Low (<0.7)
11,num_failed_logins,num_compromised,0.0069,Very Low (<0.7)
12,num_failed_logins,root_shell,0.037,Very Low (<0.7)
14,num_failed_logins,num_root,0.0032,Very Low (<0.7)
15,num_failed_logins,num_file_creations,0.0039,Very Low (<0.7)
16,num_failed_logins,num_shells,-9.70E-05,Very Low (<0.7)
17,num_failed_logins,num_access_files,0.0033,Very Low (<0.7)
18,num_failed_logins,is_guest_login,-0.00036,Very Low (<0.7)
19,logged_in,num_compromised,0.014,Very Low (<0.7)
20,logged_in,root_shell,0.025,Very Low (<0.7)
21,logged_in,su_attempted,0.011,Very Low (<0.7)
22,logged_in,num_root,0.014,Very Low (<0.7)
23,logged_in,num_file_creations,0.027,Very Low (<0.7)
24,logged_in,num_shells,0.024,Very Low (<0.7)
54,num_access_files,is_guest_login,0.002,Very Low (<0.7)
9,hot,is_guest_login,0.84,Moderate (0.8-0.9)
40,su_attempted,num_root,0.7,Low (0.7-0.8)
28,num_compromised,su_attempted,0.7,Low (0.7-0.8)
29,num_compromised,num_root,0.99,High (0.9-1.0)
