,Feature1,Feature2,Correlation,Category
0,dst_host_count,dst_host_srv_count,-0.027,Very Low (<0.7)
1,dst_host_count,dst_host_same_srv_rate,-0.13,Very Low (<0.7)
24,dst_host_diff_srv_rate,dst_host_same_src_port_rate,-0.16,Very Low (<0.7)
25,dst_host_diff_srv_rate,dst_host_srv_diff_host_rate,0.0063,Very Low (<0.7)
26,dst_host_diff_srv_rate,dst_host_serror_rate,0.16,Very Low (<0.7)
27,dst_host_diff_srv_rate,dst_host_srv_serror_rate,0.16,Very Low (<0.7)
28,dst_host_diff_srv_rate,dst_host_rerror_rate,0.22,Very Low (<0.7)
29,dst_host_diff_srv_rate,dst_host_srv_rerror_rate,0.21,Very Low (<0.7)
30,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,-0.064,Very Low (<0.7)
31,dst_host_same_src_port_rate,dst_host_serror_rate,-0.58,Very Low (<0.7)
32,dst_host_same_src_port_rate,dst_host_srv_serror_rate,-0.58,Very Low (<0.7)
33,dst_host_same_src_port_rate,dst_host_rerror_rate,-0.27,Very Low (<0.7)
34,dst_host_same_src_port_rate,dst_host_srv_rerror_rate,-0.27,Very Low (<0.7)
35,dst_host_srv_diff_host_rate,dst_host_serror_rate,-0.071,Very Low (<0.7)
36,dst_host_srv_diff_host_rate,dst_host_srv_serror_rate,-0.072,Very Low (<0.7)
37,dst_host_srv_diff_host_rate,dst_host_rerror_rate,0.14,Very Low (<0.7)
38,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,0.14,Very Low (<0.7)
40,dst_host_serror_rate,dst_host_rerror_rate,-0.11,Very Low (<0.7)
41,dst_host_serror_rate,dst_host_srv_rerror_rate,-0.11,Very Low (<0.7)
42,dst_host_srv_serror_rate,dst_host_rerror_rate,-0.11,Very Low (<0.7)
43,dst_host_srv_serror_rate,dst_host_srv_rerror_rate,-0.12,Very Low (<0.7)
23,dst_host_same_srv_rate,dst_host_srv_rerror_rate,-0.32,Very Low (<0.7)
22,dst_host_same_srv_rate,dst_host_rerror_rate,-0.32,Very Low (<0.7)
21,dst_host_same_srv_rate,dst_host_srv_serror_rate,-0.8,Very Low (<0.7)
11,dst_host_srv_count,dst_host_same_src_port_rate,0.68,Very Low (<0.7)
2,dst_host_count,dst_host_diff_srv_rate,0.025,Very Low (<0.7)
3,dst_host_count,dst_host_same_src_port_rate,0.29,Very Low (<0.7)
4,dst_host_count,dst_host_srv_diff_host_rate,-0.49,Very Low (<0.7)
5,dst_host_count,dst_host_serror_rate,0.16,Very Low (<0.7)
6,dst_host_count,dst_host_srv_serror_rate,0.16,Very Low (<0.7)
7,dst_host_count,dst_host_rerror_rate,-0.092,Very Low (<0.7)
8,dst_host_count,dst_host_srv_rerror_rate,-0.088,Very Low (<0.7)
20,dst_host_same_srv_rate,dst_host_serror_rate,-0.8,Very Low (<0.7)
10,dst_host_srv_count,dst_host_diff_srv_rate,-0.46,Very Low (<0.7)
12,dst_host_srv_count,dst_host_srv_diff_host_rate,-0.017,Very Low (<0.7)
13,dst_host_srv_count,dst_host_serror_rate,-0.78,Very Low (<0.7)
14,dst_host_srv_count,dst_host_srv_serror_rate,-0.77,Very Low (<0.7)
15,dst_host_srv_count,dst_host_rerror_rate,-0.33,Very Low (<0.7)
16,dst_host_srv_count,dst_host_srv_rerror_rate,-0.33,Very Low (<0.7)
17,dst_host_same_srv_rate,dst_host_diff_srv_rate,-0.47,Very Low (<0.7)
18,dst_host_same_srv_rate,dst_host_same_src_port_rate,0.67,Very Low (<0.7)
19,dst_host_same_srv_rate,dst_host_srv_diff_host_rate,0.058,Very Low (<0.7)
9,dst_host_srv_count,dst_host_same_srv_rate,0.97,High (0.9-1.0)
39,dst_host_serror_rate,dst_host_srv_serror_rate,1.0,High (0.9-1.0)
44,dst_host_rerror_rate,dst_host_srv_rerror_rate,0.98,High (0.9-1.0)
